曜,限,学期,年,クラス,科目名,担当者,講義コード,教室,受講対象/再履修者科目名,備考
金,4,後期前半,3,,自然言語処理,小川　祐樹,yba815301,,対象[23-23],対開講(金3、金4)
金,4,後期後半,1,,アルゴリズムとデータ構造,小川　祐樹,ybb815302,,対象[25-23],対開講(金3、金4)
金,4,後期後半,2,,情報デザイン,矢崎　裕一,ybb815303,,対象[24-23],対開講(金3、金4)
金,4,後期後半,3,,未来創造デザインプロジェクト,吉川　玄徳,ybb815301,,対象[23-23],対開講(金3、金4)
土,5,後期前半,1,,倫理学(a),未定,yba002101,,対象[25-20] ,
土,5,後期前半,1,,倫理学(a),未定,yba002201,,対象[25-20] ,
土,5,後期後半,1,,倫理学(b),未定,ybb002101,,対象[25-20] ,
土,5,後期後半,1,,倫理学(b),未定,ybb002201,,対象[25-20] ,
土,5,後期集中,1,,特別講義(DX・GXが創造するビジネスの新しい潮流）,大久保　寛基,ybz817001 ,,対象[25-23] ,
土,5,後期集中,3,,ビヘイビアル・ファイナンス,未定,yaa811101 ,,対象[23-23] ,
